Distribución regional de las personas de Venezuela en Chile versus otras nacionalidades;;;;;;
Región;Venezuela;Otras Nacionalidades;;;;
Arica y Parinacota;0,5;2,6;;;;
Antofagasta;1,8;9,2;;;;
Atacama;0,6;1,6;;;;
Coquimbo;2,1;2,3;;;;
Valparaíso;6,6;5,9;;;;
Metropolitana;59,6;56,9;;;;
O'Higgins;2,8;2,9;;;;
Maule;2,9;2,4;;;;
Ñuble;0,9;0,7;;;;
Biobío;3,4;1,7;;;;
La Araucanía;1,1;1,5;;;;
Los Ríos;0,5;0,5;;;;
Los Lagos;2,2;1,6;;;;
Aysén;0,1;0,3;;;;
Magallanes y Antártica;0,5;0,7;;;;
Ignorada;13,2;3;;;;